epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,6550.2,1.48731,1.50718,1.64276,0.59977,0.47497,0.51464,0.3076,1.41308,1.33067,1.57955,0.000515,0.000515,0.000515
77,6635.74,1.46875,1.51495,1.6543,0.61656,0.47064,0.52515,0.31228,1.40728,1.31785,1.58299,0.0004952,0.0004952,0.0004952
78,6721.25,1.44388,1.50114,1.65213,0.62458,0.47946,0.53103,0.31441,1.40284,1.30434,1.57377,0.0004754,0.0004754,0.0004754
79,6806.19,1.45424,1.49214,1.65118,0.62034,0.48131,0.53122,0.3129,1.39525,1.30407,1.56881,0.0004556,0.0004556,0.0004556
80,6892.13,1.46335,1.49694,1.6449,0.61921,0.48597,0.53309,0.31905,1.39155,1.29663,1.56253,0.0004358,0.0004358,0.0004358
81,6976.69,1.4631,1.49644,1.65238,0.62777,0.48307,0.52917,0.31235,1.40062,1.3651,1.56207,0.000416,0.000416,0.000416
82,7061.46,1.42804,1.46326,1.63195,0.61052,0.4881,0.53172,0.31845,1.39059,1.29591,1.55885,0.0003962,0.0003962,0.0003962
83,7145.2,1.43364,1.45926,1.63414,0.62486,0.4839,0.53944,0.32532,1.37865,1.26778,1.55211,0.0003764,0.0003764,0.0003764
84,7229.76,1.42497,1.44817,1.62387,0.62705,0.48628,0.53514,0.32314,1.37124,1.27864,1.54708,0.0003566,0.0003566,0.0003566
85,7312.86,1.43998,1.45632,1.61917,0.64818,0.48793,0.54776,0.32856,1.37266,1.25843,1.54858,0.0003368,0.0003368,0.0003368
86,7397.07,1.43405,1.47171,1.63008,0.62985,0.50136,0.55174,0.33339,1.36244,1.24907,1.53675,0.000317,0.000317,0.000317
87,7484.41,1.41403,1.44235,1.6216,0.62945,0.49422,0.546,0.32758,1.3688,1.26098,1.54882,0.0002972,0.0002972,0.0002972
88,7569.29,1.40244,1.4048,1.61444,0.64581,0.4988,0.5587,0.33771,1.35807,1.2308,1.54002,0.0002774,0.0002774,0.0002774
89,7654.8,1.40096,1.41748,1.61223,0.64803,0.50393,0.55857,0.33409,1.35731,1.24551,1.52569,0.0002576,0.0002576,0.0002576
90,7739.54,1.42415,1.42485,1.60649,0.65914,0.50305,0.5619,0.33748,1.34842,1.23883,1.52486,0.0002378,0.0002378,0.0002378
91,7823.02,1.43703,1.4604,1.63062,0.64662,0.50355,0.55995,0.33837,1.35288,1.23511,1.53068,0.000218,0.000218,0.000218
92,7905.82,1.38907,1.38369,1.59684,0.66044,0.50544,0.56783,0.34349,1.33788,1.2092,1.51897,0.0001982,0.0001982,0.0001982
93,7988.17,1.39936,1.34913,1.59523,0.64949,0.50883,0.56782,0.34641,1.33101,1.2026,1.51072,0.0001784,0.0001784,0.0001784
94,8069.15,1.38444,1.3457,1.59433,0.65719,0.50995,0.57184,0.34959,1.32682,1.19596,1.50646,0.0001586,0.0001586,0.0001586
95,8149.52,1.38035,1.32305,1.58121,0.66678,0.51134,0.57466,0.35188,1.32772,1.18863,1.50223,0.0001388,0.0001388,0.0001388
96,8231.7,1.37632,1.33055,1.58045,0.66106,0.51749,0.57766,0.35366,1.31688,1.18312,1.50191,0.000119,0.000119,0.000119
97,8312.82,1.36641,1.32158,1.58253,0.6634,0.51901,0.58076,0.35656,1.31438,1.17676,1.49635,9.92e-05,9.92e-05,9.92e-05
98,8393.45,1.37002,1.32027,1.57735,0.66571,0.51629,0.58197,0.3574,1.30937,1.17204,1.49405,7.94e-05,7.94e-05,7.94e-05
99,8476.06,1.36209,1.33039,1.57834,0.66913,0.51419,0.58239,0.35912,1.30826,1.16905,1.49454,5.96e-05,5.96e-05,5.96e-05
100,8557.7,1.35978,1.30207,1.56795,0.67154,0.51765,0.58442,0.35908,1.30562,1.16558,1.49059,3.98e-05,3.98e-05,3.98e-05
